,Test_score,Train_score,Test_score_drop,Accuracy,Precision,Recall,F1_score,Confusion_matrix
"LogisticRegression(max_iter=300, n_jobs=-1, random_state=42)",0.9211895910780669,0.9165117143919673,0.005104000977448428,0.9211895910780669,0.58,0.1318181818181818,0.2148148148148148,"[[2449   21]
 [ 191   29]]"
"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)",0.9193308550185874,0.9348270732614354,-0.016576561255104323,0.9193308550185874,0.8,0.01818181818181818,0.035555555555555556,"[[2469    1]
 [ 216    4]]"
"RandomForestClassifier(max_depth=20, n_jobs=-1, random_state=42)",0.9193308550185874,0.9718296764596505,-0.05402059919832342,0.9193308550185874,0.5714285714285714,0.05454545454545454,0.0995850622406639,"[[2461    9]
 [ 208   12]]"
"LogisticRegression(n_jobs=-1, random_state=42)",0.9185873605947955,0.9165117143919673,0.0022647241385291093,0.9185873605947955,0.5102040816326531,0.11363636363636363,0.18587360594795538,"[[2446   24]
 [ 195   25]]"
"RandomForestClassifier(n_jobs=-1, random_state=42)",0.9182156133828996,0.9721085905541094,-0.055439256164262846,0.9182156133828996,0.5,0.03636363636363636,0.06779661016949153,"[[2462    8]
 [ 212    8]]"
"RandomForestClassifier(max_features='sqrt', n_jobs=-1, random_state=42)",0.9182156133828996,0.9721085905541094,-0.055439256164262846,0.9182156133828996,0.5,0.03636363636363636,0.06779661016949153,"[[2462    8]
 [ 212    8]]"
"RandomForestClassifier(max_features='log2', n_jobs=-1, random_state=42)",0.9182156133828996,0.9721085905541094,-0.055439256164262846,0.9182156133828996,0.5,0.03636363636363636,0.06779661016949153,"[[2462    8]
 [ 212    8]]"
KNeighborsClassifier(n_jobs=-1),0.9144981412639405,0.9189289698772778,-0.004821731340050207,0.9144981412639405,0.421875,0.12272727272727273,0.19014084507042253,"[[2433   37]
 [ 193   27]]"
"KNeighborsClassifier(n_jobs=-1, weights='distance')",0.9144981412639405,0.9693194496095203,-0.056556492668814205,0.9144981412639405,0.421875,0.12272727272727273,0.19014084507042253,"[[2433   37]
 [ 193   27]]"
