,Test_score,Train_score,Test_score_drop,Accuracy,Precision,Recall,F1_score,Confusion_matrix
"RandomForestClassifier(n_jobs=-1, random_state=42)",0.8706319702602231,0.9757391108102008,-0.10772053655069996,0.8706319702602231,0.3083832335329341,0.4681818181818182,0.37184115523465705,"[[2239  231]
 [ 117  103]]"
"RandomForestClassifier(max_features='sqrt', n_jobs=-1, random_state=42)",0.8706319702602231,0.9757391108102008,-0.10772053655069996,0.8706319702602231,0.3083832335329341,0.4681818181818182,0.37184115523465705,"[[2239  231]
 [ 117  103]]"
"RandomForestClassifier(max_features='log2', n_jobs=-1, random_state=42)",0.8706319702602231,0.9757391108102008,-0.10772053655069996,0.8706319702602231,0.3083832335329341,0.4681818181818182,0.37184115523465705,"[[2239  231]
 [ 117  103]]"
"RandomForestClassifier(max_depth=20, n_jobs=-1, random_state=42)",0.8594795539033457,0.9743285939968405,-0.11787505857994675,0.8594795539033457,0.2887700534759358,0.4909090909090909,0.36363636363636365,"[[2204  266]
 [ 112  108]]"
"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)",0.8174721189591078,0.904254118709095,-0.0959708094820474,0.8174721189591078,0.25585585585585585,0.6454545454545455,0.3664516129032258,"[[2057  413]
 [  78  142]]"
"LogisticRegression(n_jobs=-1, random_state=42)",0.7951672862453532,0.7869555405100429,0.010434828033599,0.7951672862453532,0.2548148148148148,0.7818181818181819,0.3843575418994414,"[[1967  503]
 [  48  172]]"
"LogisticRegression(max_iter=300, n_jobs=-1, random_state=42)",0.7951672862453532,0.7869555405100429,0.010434828033599,0.7951672862453532,0.2548148148148148,0.7818181818181819,0.3843575418994414,"[[1967  503]
 [  48  172]]"
KNeighborsClassifier(n_jobs=-1),0.762453531598513,0.8903746332656285,-0.14367109853291646,0.762453531598513,0.2061711079943899,0.6681818181818182,0.31511254019292606,"[[1904  566]
 [  73  147]]"
"KNeighborsClassifier(n_jobs=-1, weights='distance')",0.762453531598513,0.957740916271722,-0.20390418886291342,0.762453531598513,0.20534458509142053,0.6636363636363637,0.31364124597207305,"[[1905  565]
 [  74  146]]"
